epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.55099,1.51753,6.7241,3.40246,1.95988,0.00278,0.5,0.11583,0.08937,0.00278,0.5,0.11583,0.01987,1.72469,6.07302,3.14124,2.18414,0,0,0
2,2.99792,1.35354,6.35282,3.43869,1.70198,0.0028,0.5,0.11191,0.06864,0.0028,0.5,0.11191,0.01119,1.7391,5.95825,3.14097,2.17454,1.63399e-05,1.63399e-05,1.63399e-05
3,3.55769,1.04096,4.94286,3.35087,1.60481,0.00486,0.75,0.20887,0.10877,0.00284,0.5,0.14648,0.02706,1.70069,5.88473,3.13572,2.12143,3.20197e-05,3.20197e-05,3.20197e-05
4,4.03133,1.18455,6.9964,3.1105,1.62008,0.00287,0.5,0.155,0.095,0.00287,0.5,0.155,0.01567,1.70374,5.85188,3.13794,2.12798,4.70394e-05,4.70394e-05,4.70394e-05
5,4.39462,1.09872,6.55653,3.21867,1.62716,0.00285,0.5,0.16542,0.11579,0.00285,0.5,0.16542,0.02895,1.70902,5.78731,3.14142,2.15469,6.13989e-05,6.13989e-05,6.13989e-05
6,4.77336,1.55909,5.79752,3.43663,1.97111,0.00287,0.5,0.12417,0.08692,0.00287,0.5,0.12417,0.0207,1.71981,5.76325,3.14462,2.16342,7.50984e-05,7.50984e-05,7.50984e-05
7,5.13375,1.15853,6.33435,3.33965,1.7507,0.00287,0.5,0.12096,0.07483,0.00287,0.5,0.02256,0.00247,1.74623,5.84187,3.15183,2.17957,8.81376e-05,8.81376e-05,8.81376e-05
8,5.60177,1.36175,5.84052,3.43638,1.75597,0.00274,0.5,0.15946,0.1205,0.00274,0.5,0.15946,0.02836,1.55352,5.28676,3.15363,2.04492,0.000100517,0.000100517,0.000100517
9,6.09887,1.36731,4.89988,3.28319,1.71703,0.00274,0.5,0.15946,0.1205,0.00274,0.5,0.15946,0.02836,1.55352,5.28676,3.15363,2.04492,0.000112236,0.000112236,0.000112236
10,6.60352,0.87283,4.74402,3.06656,1.42024,0.00265,0.5,0.28596,0.12786,0.00265,0.5,0.16221,0.03244,1.0171,4.6038,3.05236,1.53942,0.000123295,0.000123295,0.000123295
