epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7939,1.4307,4.47272,3.43285,1.85937,0.00651,0.95455,0.19007,0.12015,0.00546,0.80237,0.11002,0.03321,0.68434,2.6643,2.8752,1.2776,0.0672012,0.000331301,0.000331301
2,44.8089,0.81989,2.31464,2.78045,1.30059,0.82003,0.85979,0.94982,0.75466,0.77393,0.90571,0.94169,0.68482,0.60643,1.38612,1.48126,1.18487,0.0341881,0.000651474,0.000651474
3,67.8914,0.65473,1.54261,1.55197,1.19653,0.98355,0.97826,0.97507,0.90313,0.98355,0.97826,0.97507,0.845,0.38379,1.0229,0.86895,0.96819,0.0011617,0.000958448,0.000958448
4,89.7321,0.535,1.25064,1.07873,1.07612,0.99503,0.97826,0.97651,0.92324,0.99503,0.97826,0.97507,0.89593,0.32956,0.81934,0.69465,0.93961,0.0009406,0.0009406,0.0009406
5,110.989,0.45365,1.04784,0.95809,0.98956,0.99603,0.97826,0.9766,0.94422,0.99603,0.97826,0.97507,0.89895,0.27217,0.78469,0.63362,0.88367,0.0009208,0.0009208,0.0009208
6,132.474,0.41951,0.99915,0.88433,0.96665,0.99719,0.97826,0.97829,0.9397,0.99719,0.97826,0.97507,0.89463,0.27358,0.76713,0.58389,0.87785,0.000901,0.000901,0.000901
7,154.293,0.40213,0.92781,0.84015,0.95317,0.99688,0.97826,0.97605,0.93466,0.99688,0.97826,0.97507,0.91432,0.26189,0.82432,0.54532,0.87208,0.0008812,0.0008812,0.0008812
8,175.671,0.37588,0.87743,0.79233,0.93033,0.99726,0.97826,0.9756,0.94929,0.99726,0.97826,0.97507,0.91291,0.24098,0.78408,0.51567,0.86439,0.0008614,0.0008614,0.0008614
9,196.588,0.37756,0.87866,0.76451,0.94582,0.99711,0.97826,0.97656,0.94774,0.99711,0.97826,0.97507,0.92056,0.2448,0.72336,0.49706,0.8673,0.0008416,0.0008416,0.0008416
10,218.235,0.35671,0.83729,0.72488,0.91573,0.99702,0.97826,0.97824,0.95773,0.99702,0.97826,0.97507,0.92295,0.21492,0.71492,0.48027,0.84964,0.0008218,0.0008218,0.0008218
11,239.872,0.35663,0.82642,0.70842,0.9187,0.99712,0.97826,0.98711,0.95266,0.99712,0.97826,0.97507,0.93168,0.22477,0.63928,0.45741,0.85406,0.000802,0.000802,0.000802
12,260.432,0.35519,0.81121,0.68747,0.92651,0.99733,0.97826,0.97587,0.95493,0.99733,0.97826,0.97507,0.92585,0.20174,0.6134,0.44119,0.84555,0.0007822,0.0007822,0.0007822
13,281.856,0.34271,0.80653,0.66553,0.89771,0.99718,0.97826,0.97529,0.9514,0.99718,0.97826,0.97508,0.92701,0.2195,0.67841,0.43999,0.85393,0.0007624,0.0007624,0.0007624
14,303.471,0.33381,0.77163,0.64973,0.90154,0.99771,0.97826,0.98105,0.96146,0.99771,0.97826,0.97508,0.93118,0.19993,0.63281,0.42855,0.8427,0.0007426,0.0007426,0.0007426
15,324.233,0.32727,0.80676,0.63158,0.88518,0.99713,0.97826,0.9757,0.96374,0.99713,0.97826,0.97508,0.93792,0.19315,0.68137,0.40529,0.84062,0.0007228,0.0007228,0.0007228
